date,cases
2022-01-01,NA
2022-01-02,NA
2022-01-03,1519.53131797
2022-01-04,1727.37220635
2022-01-05,1638.53213927
2022-01-06,1370.70657666
2022-01-07,1159.46864295
2022-01-08,899.43579038
2022-01-09,648.56125981
2022-01-10,1372.32476476
2022-01-11,1360.09844973
2022-01-12,1419.36487835
2022-01-13,1493.08515949
2022-01-14,1368.23362008
2022-01-15,1011.20566505
2022-01-16,791.15342292
2022-01-17,1759.53361931
2022-01-18,1783.78381115
2022-01-19,2061.90269749
2022-01-20,1807.22025368
2022-01-21,1701.50645946
2022-01-22,1227.87581379
2022-01-23,935.6358002
2022-01-24,1983.7867822
2022-01-25,1951.00190799
2022-01-26,2168.18457118
2022-01-27,1834.7788483
2022-01-28,1550.73002653
2022-01-29,1139.9453975
2022-01-30,956.45044025
2022-01-31,1582.02203567
2022-02-01,1590.99201364
2022-02-02,1432.26520292
2022-02-03,1349.24066684
2022-02-04,1088.90239383
2022-02-05,802.76903149
2022-02-06,648.3460196
2022-02-07,1267.68149857
2022-02-08,1177.76732985
2022-02-09,1227.58125329
2022-02-10,1012.82461715
2022-02-11,824.02852565
2022-02-12,623.08374695
2022-02-13,501.96620067
2022-02-14,NA
2022-02-15,913.70340725
2022-02-16,882.61757284
2022-02-17,693.20177616
2022-02-18,613.76470559
2022-02-19,503.7120333
2022-02-20,420.16132526
2022-02-21,787.95865531
2022-02-22,795.07701001
2022-02-23,805.83460999
2022-02-24,702.01494926
2022-02-25,694.61200003
2022-02-26,539.20876085
2022-02-27,551.75318255
2022-02-28,1044.77952921
2022-03-01,981.24557918
2022-03-02,1120.10042829
2022-03-03,1110.47939901
2022-03-04,1097.22480437
2022-03-05,905.97203212
2022-03-06,862.85673796
2022-03-07,1669.42783865
2022-03-08,1650.77720658
2022-03-09,1799.49372493
2022-03-10,1682.00688282
2022-03-11,1612.63771515
2022-03-12,1318.32550967
2022-03-13,1096.81921135
2022-03-14,2204.96071789
2022-03-15,2091.49650735
2022-03-16,1974.94437361
2022-03-17,1751.0082041
2022-03-18,1388.45641711
2022-03-19,1174.75547073
2022-03-20,864.22756342
2022-03-21,1710.8339738
2022-03-22,1506.06835923
2022-03-23,1290.84996744
2022-03-24,1115.0456287
2022-03-25,885.71075856
2022-03-26,668.6326894
2022-03-27,575.79372975
2022-03-28,1033.43754057
2022-03-29,883.22124042
2022-03-30,770.05863165
2022-03-31,522.80220227
2022-04-01,428.94285076
2022-04-02,329.28732635
2022-04-03,252.73875297
2022-04-04,527.00409252
2022-04-05,533.87802544
2022-04-06,509.57186925
2022-04-07,405.07201686
2022-04-08,387.01586702
2022-04-09,317.95026505
2022-04-10,212.40498769
2022-04-11,448.84731365
2022-04-12,400.38507
2022-04-13,411.65801365
2022-04-14,310.28449046
2022-04-15,222.36093227
2022-04-16,186.93964141
2022-04-17,138.12335912
2022-04-18,149.52444211
2022-04-19,364.58085687
2022-04-20,258.87118388
2022-04-21,251.79419303
2022-04-22,232.59957004
2022-04-23,152.47786078
2022-04-24,117.53841172
2022-04-25,211.47175178
2022-04-26,211.93377904
2022-04-27,214.98221638
2022-04-28,206.24977899
2022-04-29,151.95674389
2022-04-30,134.85451696
