date,flow
2022-01-01,341163000000
2022-01-02,341163000000
2022-01-03,158972000000
2022-01-04,160849000000
2022-01-05,372301000000
2022-01-06,225454000000
2022-01-07,187430000000
2022-01-08,189765000000
2022-01-09,304468000000
2022-01-10,319690000000
2022-01-11,216338000000
2022-01-12,187732000000
2022-01-13,173419000000
2022-01-14,166116000000
2022-01-15,154346000000
2022-01-16,149582000000
2022-01-17,161385000000
2022-01-18,154702000000
2022-01-19,153658000000
2022-01-20,152649000000
2022-01-21,148071000000
2022-01-22,140243000000
2022-01-23,136787000000
2022-01-24,143776000000
2022-01-25,142054000000
2022-01-26,142252000000
2022-01-27,142451000000
2022-01-28,162396000000
2022-01-29,135606000000
2022-01-30,133841000000
2022-01-31,219781000000
2022-02-01,196754000000
2022-02-02,233526000000
2022-02-03,167752000000
2022-02-04,151090000000
2022-02-05,147239000000
2022-02-06,142026000000
2022-02-07,300447000000
2022-02-08,199033000000
2022-02-09,158643000000
2022-02-10,150993000000
2022-02-11,318152000000
2022-02-12,216387000000
2022-02-13,151228000000
2022-02-14,151228000000
2022-02-15,229932000000
2022-02-16,211003000000
2022-02-17,203999000000
2022-02-18,170459000000
2022-02-19,219246000000
2022-02-20,153043000000
2022-02-21,258115000000
2022-02-22,248636000000
2022-02-23,173299000000
2022-02-24,165998000000
2022-02-25,173497000000
2022-02-26,161105000000
2022-02-27,151849000000
2022-02-28,156443000000
2022-03-01,153026000000
2022-03-02,151841000000
2022-03-03,149803000000
2022-03-04,147550000000
2022-03-05,139780000000
2022-03-06,138694000000
2022-03-07,144725000000
2022-03-08,142455000000
2022-03-09,142498000000
2022-03-10,140876000000
2022-03-11,139902000000
2022-03-12,132130000000
2022-03-13,131321000000
2022-03-14,142211000000
2022-03-15,148379000000
2022-03-16,138554000000
2022-03-17,137492000000
2022-03-18,151234000000
2022-03-19,130758000000
2022-03-20,128658000000
2022-03-21,136511000000
2022-03-22,134359000000
2022-03-23,136372000000
2022-03-24,134561000000
2022-03-25,138434000000
2022-03-26,134734000000
2022-03-27,127218000000
2022-03-28,141825000000
2022-03-29,142931000000
2022-03-30,245056000000
2022-03-31,259846000000
2022-04-01,396206000000
2022-04-02,299717000000
2022-04-03,206690000000
2022-04-04,186294000000
2022-04-05,164009000000
2022-04-06,159783000000
2022-04-07,168722000000
2022-04-08,393305000000
2022-04-09,273671000000
2022-04-10,217537000000
2022-04-11,174711000000
2022-04-12,168400000000
2022-04-13,160855000000
2022-04-14,154826000000
2022-04-15,141919000000
2022-04-16,135902000000
2022-04-17,130381000000
2022-04-18,135426000000
2022-04-19,148991000000
2022-04-20,145837000000
2022-04-21,144974000000
2022-04-22,143690000000
2022-04-23,135765000000
2022-04-24,257938000000
2022-04-25,325289000000
2022-04-26,330659000000
2022-04-27,206046000000
2022-04-28,158373000000
2022-04-29,152156000000
2022-04-30,208685000000
